Algorithm,TestType,ArraySize,Duration_ms
Shell Sort,Reverse Sorted,20000,23.169
Quicksort,Mixed,10,0.0206
Quicksort,All Negative,10,0.0054
Quicksort,All Positive,10,0.0056
Quicksort,Already Sorted,10,0.0009
Quicksort,Reverse Sorted,10,0.0055
Quicksort,Mixed,50,0.0345
Quicksort,All Negative,50,0.0342
Quicksort,All Positive,50,0.0317
Quicksort,Already Sorted,50,0.002
Quicksort,Reverse Sorted,50,0.0032
Quicksort,Mixed,100,0.1348
Quicksort,All Negative,100,0.1328
Quicksort,All Positive,100,0.1253
Quicksort,Already Sorted,100,0.0026
Quicksort,Reverse Sorted,100,0.0036
Quicksort,Mixed,300,0.4253
Quicksort,All Negative,300,0.4663
Quicksort,All Positive,300,0.3651
Quicksort,Already Sorted,300,0.0053
Quicksort,Reverse Sorted,300,0.007
Quicksort,Mixed,750,1.115
Quicksort,All Negative,750,1.1069
Quicksort,All Positive,750,1.2736
Quicksort,Already Sorted,750,0.0098
Quicksort,Reverse Sorted,750,0.0092
Quicksort,Mixed,1000,1.5968
Quicksort,All Negative,1000,2.2106
Quicksort,All Positive,1000,1.7984
Quicksort,Already Sorted,1000,0.0142
Quicksort,Reverse Sorted,1000,0.0144
Quicksort,Mixed,3000,6.6498
Quicksort,All Negative,3000,6.5614
Quicksort,All Positive,3000,6.6216
Quicksort,Already Sorted,3000,0.0354
Quicksort,Reverse Sorted,3000,0.037
Quicksort,Mixed,4500,10.2737
Quicksort,All Negative,4500,9.6937
Quicksort,All Positive,4500,9.4102
Quicksort,Already Sorted,4500,0.0596
Quicksort,Reverse Sorted,4500,0.0579
Quicksort,Mixed,6000,12.0022
Quicksort,All Negative,6000,12.28
Quicksort,All Positive,6000,11.3706
Quicksort,Already Sorted,6000,0.055
Quicksort,Reverse Sorted,6000,0.0552
Quicksort,Mixed,7000,13.4522
Quicksort,All Negative,7000,14.9109
Quicksort,All Positive,7000,14.7379
Quicksort,Already Sorted,7000,0.0706
Quicksort,Reverse Sorted,7000,0.0932
Quicksort,Mixed,8000,16.1464
Quicksort,All Negative,8000,15.9219
Quicksort,All Positive,8000,15.528
Quicksort,Already Sorted,8000,0.0691
Quicksort,Reverse Sorted,8000,0.0855
Quicksort,Mixed,9000,16.2337
Quicksort,All Negative,9000,16.9518
Quicksort,All Positive,9000,16.3317
Quicksort,Already Sorted,9000,0.0735
Quicksort,Reverse Sorted,9000,0.077
Quicksort,Mixed,10000,17.5442
Quicksort,All Negative,10000,17.9017
Quicksort,All Positive,10000,17.1166
Quicksort,Already Sorted,10000,0.0918
Quicksort,Reverse Sorted,10000,0.1162
Quicksort,Mixed,15000,28.4358
Quicksort,All Negative,15000,27.3992
Quicksort,All Positive,15000,27.6173
Quicksort,Already Sorted,15000,0.1178
Quicksort,Reverse Sorted,15000,0.1176
Quicksort,Mixed,20000,34.6057
Quicksort,All Negative,20000,38.558
Quicksort,All Positive,20000,36.8542
Quicksort,Already Sorted,20000,0.1438
Quicksort,Reverse Sorted,20000,0.1563
